Nombre del alimento;GRUPO;SUBGRUPO;Calorías;Humedad;Proteínas;grasas;Carbohid.;Fibra;Calcio;Fósforo;Hierro;Sodio;Potasio;Zinc;Vit. A;Vit. B1;Vit. B2;Niacina;Vit. C
;;;Kcal.;Hum(%);Prot(g);Lip(g);Glu(g);Fib.(mg);Ca(mg);P (mg);Fe (mg);Na (mg);k (mg);Zn (mg);A (mcg);B1(mg);B2(mg);PP (mg);C (mg)
MAISOY.;NUEVO;CEREALES Y DERIVADOS;398;0;18,1;4,7;70,9;0;111;259;7,9;0;0;0;218;0,12;0,2;1;0
OTRAS HOJUELAS;NUEVO;CEREALES Y DERIVADOS;381;0;5,3;3;63,5;0;18;47;13,7;0;0;0;751;1,26;1,43;16,68;7
PAN DULCE;NUEVO;PANES;345;0;8,3;7,2;61,6;0;42;71;2,9;0;0;0;4;0,06;0,22;2,11;0
PAN BLANCO;NUEVO;PANES;361;0;8,4;4,5;65,4;0;216;101;4,3;0;0;0;5;0,07;0,19;2,88;0
PAN INTEGRAL;NUEVO;PANES;299;0;10,3;2,7;58;0;108;200;4,1;0;0;0;28;0,09;0,13;1,96;0
GALLETAS DE AGUA;NUEVO;GALLETAS;421;0;13;9,5;72,9;0;39;169;5,4;0;0;0;53;0;0;2,71;0
Galletas;NUEVO;GALLETAS;421;0;13;9,5;72,9;0;39;169;5,4;0;0;0;53;0;0;2,71;0
GALLETAS INTEGRALES;NUEVO;GALLETAS;444;0;9,5;15,2;67,4;0;167;346;4,3;0;0;0;0;0,08;0,14;1,3;0
GALLETAS DULCES;NUEVO;GALLETAS;470;0;9;16,7;70,9;0;72;197;3,8;0;0;0;57;0;0;2,71;0
"LEGUMINOSAS ""A""";NUEVO;LEGUMINOSAS;353;0;22,9;1,4;64,4;0;119;426;14,6;0;0;0;0;0,19;0,28;2,11;0
"LEGUMINOSAS ""B""";NUEVO;LEGUMINOSAS;389;0;38,1;17,4;29,9;0;184;593;9,6;0;0;0;0;0,42;0,39;1,93;0
HARINAS DE LEGUMINOSAS;NUEVO;LEGUMINOSAS;369;0;21,6;7,2;49,8;0;131;0;10,5;0;0;0;4;0,31;0,2;1,86;0
AZÚCAR;NUEVO;AZÚCARES;387;0;0;0;99,9;0;0;0;0;0;0;0;0;0;0;0;0
DULCES (CARAMELOS);NUEVO;AZÚCARES;390;0;0,6;0,2;96,6;0;36;44;1,7;0;0;0;0;0;0;0;0
Menta;NUEVO;AZÚCARES;390;0;0,6;0,2;96,6;0;36;44;1,7;0;0;0;0;0;0;0;0
DULCE DE LECHE;NUEVO;AZÚCARES;336;0;8,1;6,7;62,7;0;339;191;0,4;0;0;0;37;0,03;0,45;0,52;0
MERMELADAS;NUEVO;AZÚCARES;285;0;1,2;0,2;71,2;0;21;30;1;0;0;0;17;0,05;0,18;1,32;0
MERMELADA DIETÉTICA;NUEVO;AZÚCARES;124;0;0,3;29;0,1;0;0;0;0;0;0;0;0;0;0;0;0
GELATINA;NUEVO;POSTRES EN POLVO;400;0;4,2;0,8;93,9;0;43;2;1,7;0;0;0;59;0;0;0,11;0
GELATINA DIETÉTICA;NUEVO;POSTRES EN POLVO;266;0;40,5;24,3;0;0;0;0;0;0;0;0;0;0;0;0;0
PUDÍN;NUEVO;POSTRES EN POLVO;400;0;5;1,7;91,1;0;39;125;1,6;0;0;0;53;0;0;0,22;2
Flan;NUEVO;POSTRES EN POLVO;400;0;5;1,7;91,1;0;39;125;1,6;0;0;0;53;0;0;0,22;2
ACEITE VEGETAL;NUEVO;GRASAS;880;0;0,2;99,2;0;0;5;3;0,7;0;0;0;3;0,05;0,08;0,38;0
ACEITE;NUEVO;GRASAS;880;0;0,2;99,2;0;0;5;3;0,7;0;0;0;3;0,05;0,08;0,38;0
MANTEQUILLA;NUEVO;GRASAS;707;0;1,8;75,9;8,1;0;44;52;0,5;0;0;0;202;0,01;0,09;0,14;0
MARGARINA;NUEVO;GRASAS;759;0;0,7;80,1;12,4;0;5;3;0,9;0;0;0;84;0,02;0,11;0,41;0
MAYONESA;NUEVO;GRASAS;748;0;1,1;80;5,9;0;10;30;0,4;0;0;0;0;0,02;0,03;0;0
CREMA DE LECHE;NUEVO;GRASAS;340;0;2,3;36,6;2,1;0;77;66;0,1;0;0;0;365;0,03;0,11;0,1;2
CN STANDARD;NUEVO;PRODUCTOS NUTROTERAPICOS;455;0;15,8;15,1;63,7;0;500,5;500,5;8;273;600,6;15,1;411,3;1;1,1;10;60
AGUA;NUEVO;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PVM;NUEVO;MISCELÁNEAS;361;3;31,2;1;56,8;;2000;1330;23,1;467;1330;23;2100;3,4;3,4;40;200
CALDO BASE;NUEVO;MISCELÁNEAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NUTRIBEBE 100;NUEVO;MISCELANEAS;440;0;12;12;73;0,9;200;200;22;0;0;10;500;0,36;0,36;6,6;140
Cibeles Nutrition;NUEVO;PRUDUCTOS NUTROTERAPICOS;455;0;15,8;15,1;63,7;0;500,5;500,5;8;273;600,6;15,1;411,3;1;1,1;10;60
PECHUGA AHUMADA DE PAVO;;;99,2;;20,7;0,17;3,72;;;;;;;;;;;;
CHIA;;;502;;27,47;33,96;27,16;;720;725;;;;;;;;;
SESAMO;;;640;;22;56,7;10,4;6,5;711;640;;;;;;;;;
Coco rallado O;;;660;;6,9;64,5;23,7;;;;;;;;;;;;
SEMILLAS DE GIRASOL;;;593;;20;51;12;11;105;705;;;;;;;;;
CHOCOLATE CELINDA;;;393;;12,5;8;67,7;20,6;;;;;;;;;;;
SARDINA JUREL;;;181;;24;7,8;2,8;;201;;;463;;;;;;;83
CN SOYA;;;463;;16;15;66;;228;;6;;;11;;;;;
SOYA SOY;;;60;;2,7;1,7;8,5;;7,6;;;;;;;;;;
BEBIDA DE SOYA;;;49,78;;3;1,68;5,2;;55;;;;;;;;;;
Enriquecido Lácteo;NUEVO;LACTEOS;80;0;1,96;2,02;13,28;0;174,8;97,2;4,32;0;0;0;200;0;0;0;23,76
YOGURT GRIEGO DELIZIA;NUEVO;LACTEOS;85,26;0;8,41;3,38;13,1;0;93,26;65,88;0;38,2;0;0;0;0;0;0;0
PAN MOLDE MULTICEREAL;NUEVO;PANES;;;;;;;;;;;;;;;;;
Api Fortificado;NUEVO;;56;0;1,8;0,73;10,4;0;8,8;46;1,76;;;;0;;;;0
Pan Enriquecido;NUEVO;;349;0;11,6;9,8;55,42857143;0;57,14285714;128,3;4,4;0;0;0;12,85714286;0;0;0;3,657142857
yogurt kefir;l;;27;;9;0,95;1,5;;;;;;;;;;;;
GALLETAS KETO;;;422;0;15,874;16,462;55;9,25947;203,1;392,2;5,04;3,16;1062,4;1,97;0;0,276;0,213;2,389;16,4
PANQUEQUES;;;361,78;;17,66;10,17;49,91;;242;;;;;;;;;;
PROTEINA DIMATIZE;;;366,6;;83,3;0;3,3;;;;;;;;;;;;
REQUESON;;;174;;11;13;3;;;;;;;;;;;;
